datum,ka_ruhleben
2016-02-25,241.65
2016-02-26,231.2
2016-02-27,221.34
2016-02-28,226.03
2016-02-29,213.37
2016-03-01,219.93
2016-03-02,228.74
2016-03-03,225.18
2016-03-04,227.17
2016-03-05,218.19
2016-03-06,334.3
2016-03-07,227.32
2016-03-08,214.02
2016-03-09,223.69
2016-03-10,224.95
2016-03-11,233.75
2016-03-12,224.16
2016-03-13,223.8
2016-03-14,223.3
2016-03-15,204.591
2016-03-16,218.97
2016-03-17,228.76
2016-03-18,237.49
2016-03-19,232.51
2016-03-20,220.41
2016-03-21,239.95
2016-03-22,207.548
2016-03-23,164.519
2016-03-24,199.879
2016-03-25,284.1
2016-03-26,201.26
2016-03-27,170.3
2016-03-28,185.93
2016-03-29,326.294
2016-03-30,242.101
2016-03-31,51.738
2016-04-01,5.38
2016-04-02,5.54
2016-04-03,6.14
2016-04-04,0
2016-04-05,0
2016-04-06,5.58
2016-04-07,0.193
2016-04-08,3.02
2016-04-09,5.06
2016-04-10,1.94
2016-04-11,0
2016-04-12,2.43
2016-04-13,2.23
2016-04-14,110.371
2016-04-15,65.287
2016-04-16,10.91
2016-04-17,4.69
2016-04-18,1.57
2016-04-19,0
2016-04-20,2.13
2016-04-21,5.58
2016-04-22,5.09
2016-04-23,3.37
2016-04-24,1.04
2016-04-25,6.77
2016-04-26,42.147
2016-04-27,16.439
2016-04-28,4.83
2016-04-29,1.5
2016-04-30,4.04
2016-05-01,3.58
2016-05-02,5.91
2016-05-03,0
2016-05-04,4.601
2016-05-05,3.33
2016-05-06,3.3
2016-05-07,0
2016-05-08,0
2016-05-09,1.94
2016-05-10,0
2016-05-11,4.14
2016-05-12,11
2016-05-13,4.798
2016-05-14,0
2016-05-15,0
2016-05-16,0
2016-05-17,0
2016-05-18,3.53
2016-05-19,6.78
2016-05-20,3.44
2016-05-21,0
2016-05-22,0
2016-05-23,7.61
2016-05-24,95.213
2016-05-25,46.259
2016-05-26,4.28
2016-05-27,7.79
2016-05-28,5.6
2016-05-29,4.78
2016-05-30,59.283
2016-05-31,85.881
2016-06-01,173.416
2016-06-02,50.231
2016-06-03,7.86
2016-06-04,23.373
2016-06-05,68.136
2016-06-06,0.564
2016-06-07,4.48
2016-06-08,4.68
2016-06-09,4.71
2016-06-10,5.83
2016-06-11,5.4
2016-06-12,2.12
2016-06-13,6.753
2016-06-14,21.455
2016-06-15,87.426
2016-06-16,19.561
2016-06-17,203.855
2016-06-18,6.82
2016-06-19,4.28
2016-06-20,4.25
2016-06-21,8.03
2016-06-22,5.21
2016-06-23,8.28
2016-06-24,5.02
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,1.45
2016-06-30,5.71
2016-07-01,0
2016-07-02,16.613
2016-07-03,0
2016-07-04,0
2016-07-05,11.48
2016-07-06,13.955
2016-07-07,7.37
2016-07-08,24.091
2016-07-09,6.51
2016-07-10,2.52
2016-07-11,2.03
2016-07-12,8.04
2016-07-13,97.085
2016-07-14,10.644
2016-07-15,5.08
2016-07-16,7.38
2016-07-17,28.473
2016-07-18,7.53
2016-07-19,2.47
2016-07-20,12.2
2016-07-21,11.303
2016-07-22,5.88
2016-07-23,0
2016-07-24,2.85
2016-07-25,8.86
2016-07-26,0
2016-07-27,42.48
2016-07-28,7.07
2016-07-29,12.575
2016-07-30,0
2016-07-31,26.969
2016-08-01,24.595
2016-08-02,71.363
2016-08-03,0
2016-08-04,19.696
2016-08-05,118.627
2016-08-06,50.603
2016-08-07,0
2016-08-08,0
2016-08-09,0
2016-08-10,2.07
2016-08-11,0
2016-08-12,0
2016-08-13,1.66
2016-08-14,0
2016-08-15,0
2016-08-16,0
2016-08-17,1.23
2016-08-18,2.29
2016-08-19,0
2016-08-20,101.355
2016-08-21,116.672
2016-08-22,0.547
2016-08-23,0
2016-08-24,0
2016-08-25,0
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,1.14
2016-08-30,0
2016-08-31,0
2016-09-01,0
2016-09-02,0
2016-09-03,0
2016-09-04,40.549
2016-09-05,46.362
2016-09-06,3.08
2016-09-07,3.91
2016-09-08,3.44
2016-09-09,4.59
2016-09-10,2.21
2016-09-11,1.11
2016-09-12,2.92
2016-09-13,2.44
2016-09-14,1.96
2016-09-15,4.25
2016-09-16,2.21
2016-09-17,67.233
2016-09-18,0
2016-09-19,0
2016-09-20,0
2016-09-21,2.69
2016-09-22,5.98
2016-09-23,3.56
2016-09-24,3.35
2016-09-25,0
2016-09-26,1.19
2016-09-27,0
2016-09-28,0.406
2016-09-29,0
2016-09-30,24
2016-10-01,231.621
2016-10-02,246.916
2016-10-03,207.013
2016-10-04,246.262
2016-10-05,275.989
2017-04-01,NA
2017-04-02,NA
2017-04-03,NA
2017-04-04,NA
2017-04-05,NA
2017-04-06,NA
2017-04-07,NA
2017-04-08,NA
2017-04-09,NA
2017-04-10,NA
2017-04-11,NA
2017-04-12,NA
2017-04-13,NA
2017-04-14,NA
2017-04-15,NA
2017-04-16,NA
2017-04-17,NA
2017-04-18,NA
2017-04-19,NA
2017-04-20,NA
2017-04-21,NA
2017-04-22,NA
2017-04-23,NA
2017-04-24,NA
2017-04-25,NA
2017-04-26,NA
2017-04-27,NA
2017-04-28,NA
2017-04-29,NA
2017-04-30,NA
2017-05-01,5.6
2017-05-02,28.24
2017-05-03,4.96
2017-05-04,87.48
2017-05-05,7.71
2017-05-06,7.33
2017-05-07,8.01
2017-05-08,26.47
2017-05-09,3.54
2017-05-10,5.08
2017-05-11,2.79
2017-05-12,7.85
2017-05-13,1.22
2017-05-14,0.99
2017-05-15,3.61
2017-05-16,1
2017-05-17,3.04
2017-05-18,2.63
2017-05-19,9.57
2017-05-20,8.56
2017-05-21,7.72
2017-05-22,7.74
2017-05-23,35.12
2017-05-24,26.95
2017-05-25,2.22
2017-05-26,6.26
2017-05-27,7.46
2017-05-28,3.83
2017-05-29,4.17
2017-05-30,94.23
2017-05-31,14.26
2017-06-01,8.02
2017-06-02,6.3
2017-06-03,26.48
2017-06-04,108.76
2017-06-05,52.14
2017-06-06,80.34
2017-06-07,58.58
2017-06-08,2.25
2017-06-09,10.16
2017-06-10,1.73
2017-06-11,2.65
2017-06-12,7.94
2017-06-13,1.03
2017-06-14,4.05
